,State,EBRW,Math
0,Alabama,595,571
1,Alaska,562,544
2,Arizona,577,572
3,Arkansas,592,576
4,California,540,536
5,Colorado,519,506
6,Connecticut,535,519
7,Delaware,505,492
8,District of Columbia,497,480
9,Florida,550,549
10,Georgia,542,522
11,Hawaii,480,530
12,Idaho,508,493
13,Illinois,513,506
14,Indiana,542,532
15,Iowa,634,631
16,Kansas,633,631
17,Kentucky,630,618
18,Louisiana,615,595
19,Maine,512,501
20,Maryland,545,535
21,Massachusetts,562,563
22,Michigan,511,499
23,Minnesota,643,655
24,Mississippi,630,606
25,Missouri,633,629
26,Montana,606,592
27,Nebraska,629,623
28,Nevada,574,566
29,New Hampshire,535,528
30,New Jersey,547,547
31,New Mexico,552,540
32,New York,534,534
33,North Carolina,554,543
34,North Dakota,640,643
35,Oklahoma,541,521
36,Ohio,552,547
37,Oregon,564,553
38,Pennsylvania,547,539
39,Rhode Island,513,505
40,South Carolina,547,523
41,South Dakota,622,618
42,Tennessee,624,607
43,Texas,520,512
44,Utah,480,530
45,Vermont,565,554
46,Virginia,567,550
47,Washington,543,538
48,West Virginia,513,486
49,Wisconsin,641,653
50,Wyoming,633,625
