,State,EBRW,Math
0,Alabama,583,560
1,Alaska,556,541
2,Arizona,569,565
3,Arkansas,582,559
4,California,534,531
5,Colorado,518,506
6,Connecticut,529,516
7,Delaware,499,486
8,District of Columbia,495,480
9,Florida,516,483
10,Georgia,538,519
11,Hawaii,550,550
12,Idaho,505,488
13,Illinois,509,504
14,Indiana,543,537
15,Iowa,622,622
16,Kansas,618,623
17,Kentucky,620,612
18,Louisiana,610,591
19,Maine,512,502
20,Maryland,535,523
21,Massachusetts,559,561
22,Michigan,507,496
23,Minnesota,636,648
24,Mississippi,628,608
25,Missouri,622,615
26,Montana,603,596
27,Nebraska,628,631
28,Nevada,580,576
29,New Hampshire,533,526
30,New Jersey,544,545
31,New Mexico,543,530
32,New York,531,533
33,North Carolina,554,546
34,North Dakota,627,636
35,Ohio,550,548
36,Oklahoma,490,472
37,Oregon,562,550
38,Pennsylvania,545,537
39,Puerto Rico,483,462
40,Rhode Island,503,492
41,South Carolina,526,504
42,South Dakota,633,635
43,Tennessee,618,602
44,Texas,515,507
45,Utah,614,615
46,Vermont,560,546
47,Virgin Islands,490,445
48,Virginia,567,551
49,Washington,539,535
50,West Virginia,483,460
51,Wisconsin,635,648
52,Wyoming,623,615
